File, Attirbute
NADP_Region.csv, WsAreaSqKm
NADP_Region.csv, CatPctFull
NADP_Region.csv, WsPctFull
NADP_Region.csv, SN_2008Cat
NADP_Region.csv, InorgNWetDep_2008Cat
NADP_Region.csv, NH4_2008Cat
NADP_Region.csv, NO3_2008Cat
NADP_Region.csv, SN_2008Ws
NADP_Region.csv, InorgNWetDep_2008Ws
NADP_Region.csv, NH4_2008Ws
NADP_Region.csv, NO3_2008Ws
NLCD2006RipBuf100_Region.csv, CatAreaSqKmRp100
NLCD2006RipBuf100_Region.csv, WsAreaSqKmRp100
NLCD2006RipBuf100_Region.csv, CatPctFullRp100
NLCD2006RipBuf100_Region.csv, WsPctFullRp100
NLCD2006RipBuf100_Region.csv, PctOw2006CatRp100
NLCD2006RipBuf100_Region.csv, PctIce2006CatRp100
NLCD2006RipBuf100_Region.csv, PctUrbOp2006CatRp100
NLCD2006RipBuf100_Region.csv, PctUrbLo2006CatRp100
NLCD2006RipBuf100_Region.csv, PctUrbMd2006CatRp100
NLCD2006RipBuf100_Region.csv, PctUrbHi2006CatRp100
NLCD2006RipBuf100_Region.csv, PctBl2006CatRp100
NLCD2006RipBuf100_Region.csv, PctDecid2006CatRp100
NLCD2006RipBuf100_Region.csv, PctConif2006CatRp100
NLCD2006RipBuf100_Region.csv, PctMxFst2006CatRp100
NLCD2006RipBuf100_Region.csv, PctShrb2006CatRp100
NLCD2006RipBuf100_Region.csv, PctGrs2006CatRp100
NLCD2006RipBuf100_Region.csv, PctHay2006CatRp100
NLCD2006RipBuf100_Region.csv, PctCrop2006CatRp100
NLCD2006RipBuf100_Region.csv, PctWdWet2006CatRp100
NLCD2006RipBuf100_Region.csv, PctHbWet2006CatRp100
NLCD2006RipBuf100_Region.csv, PctOw2006WsRp100
NLCD2006RipBuf100_Region.csv, PctIce2006WsRp100
NLCD2006RipBuf100_Region.csv, PctUrbOp2006WsRp100
NLCD2006RipBuf100_Region.csv, PctUrbLo2006WsRp100
NLCD2006RipBuf100_Region.csv, PctUrbMd2006WsRp100
NLCD2006RipBuf100_Region.csv, PctUrbHi2006WsRp100
NLCD2006RipBuf100_Region.csv, PctBl2006WsRp100
NLCD2006RipBuf100_Region.csv, PctDecid2006WsRp100
NLCD2006RipBuf100_Region.csv, PctConif2006WsRp100
NLCD2006RipBuf100_Region.csv, PctMxFst2006WsRp100
NLCD2006RipBuf100_Region.csv, PctShrb2006WsRp100
NLCD2006RipBuf100_Region.csv, PctGrs2006WsRp100
NLCD2006RipBuf100_Region.csv, PctHay2006WsRp100
NLCD2006RipBuf100_Region.csv, PctCrop2006WsRp100
NLCD2006RipBuf100_Region.csv, PctWdWet2006WsRp100
NLCD2006RipBuf100_Region.csv, PctHbWet2006WsRp100
NLCD2006_Region.csv, CatAreaSqKm
NLCD2006_Region.csv, CatPctFull
NLCD2006_Region.csv, WsAreaSqKm
NLCD2006_Region.csv, WsPctFull
NLCD2006_Region.csv, PctOw2006Cat
NLCD2006_Region.csv, PctIce2006Cat
NLCD2006_Region.csv, PctUrbOp2006Cat
NLCD2006_Region.csv, PctUrbLo2006Cat
NLCD2006_Region.csv, PctUrbMd2006Cat
NLCD2006_Region.csv, PctUrbHi2006Cat
NLCD2006_Region.csv, PctBl2006Cat
NLCD2006_Region.csv, PctDecid2006Cat
NLCD2006_Region.csv, PctConif2006Cat
NLCD2006_Region.csv, PctMxFst2006Cat
NLCD2006_Region.csv, PctShrb2006Cat
NLCD2006_Region.csv, PctGrs2006Cat
NLCD2006_Region.csv, PctHay2006Cat
NLCD2006_Region.csv, PctCrop2006Cat
NLCD2006_Region.csv, PctWdWet2006Cat
NLCD2006_Region.csv, PctHbWet2006Cat
NLCD2006_Region.csv, PctOw2006Ws
NLCD2006_Region.csv, PctIce2006Ws
NLCD2006_Region.csv, PctUrbOp2006Ws
