COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,RdCrsCat,RdCrsWs
8678639,0.7623,100,12.069,100,1.31181949363768,0.331427624492501
8678641,0.315,100,65.2167,100,0.0,0.291336421499401
8678643,0.4662,100,0.9738,100,0.0,0.0
8678645,1.4121,100,1.4121,100,0.708165144111607,0.708165144111607
8678647,1.1232,100,1.1232,100,0.0,0.0
8678649,1.6173,100,28.584,100,0.618314474741854,0.4897844948222779
8678651,1.2852,100,1.2852,100,0.0,0.0
8678653,0.2259,100,4.9482,100,4.42673749446658,0.40418738126995707
8678655,0.7506,100,3.4749,100,0.0,0.0
8678657,0.2502,100,32.9382,100,0.0,0.455398291345611
8678659,1.9773,100,3.1536,100,0.505740150710565,0.317097919837646
8678661,1.3005,100,1.3005,100,0.768935024990388,0.768935024990388
8678663,3.5226,100,16.9155,100,0.567762448191677,0.650291153084449
8678665,0.081,100,77.3667,100,0.0,0.297285524650786
8678667,1.6092,100,1.6092,100,0.0,0.0
8678669,0.9792,100,1.953,100,1.0212418300653598,0.512032770097286
8678671,0.1836,100,1.5975,100,0.0,0.0
8678673,0.7659,100,0.7659,100,0.0,0.0
8678675,0.9531,100,3.6,100,0.0,0.277777777777778
8678677,1.6227,100,1.6227,100,0.0,0.0
8678679,0.8667,100,0.8667,100,0.0,0.0
8678681,0.765,100,80.415,100,0.0,0.29845178138406997
8678683,3.1248,100,3.1248,100,0.32002048131080396,0.32002048131080396
8678685,2.3634,100,2.3634,100,0.423119235000423,0.423119235000423
8678687,1.0107,100,1.0107,100,0.0,0.0
8678689,0.4446,100,36.8577,100,0.0,0.406970592305
8678691,0.882,100,0.882,100,0.0,0.0
8678693,0.8658,100,0.8658,100,0.0,0.0
8678695,0.7596,100,0.7596,100,0.0,0.0
8678697,0.6408,100,0.6408,100,1.5605493133583,1.5605493133583
8678699,1.5498,100,1.5498,100,0.0,0.0
8678701,1.2969,100,5.3352,100,0.0,0.18743439796071398
8678703,1.5003,100,1.5003,100,0.666533359994668,0.666533359994668
8678705,1.8783,100,1.8783,100,0.0,0.0
8678707,1.1808,100,423.4185,100,0.0,0.484154565754685
8678709,0.9495,100,2.2833,100,1.05318588730911,0.43796259799413106
8678711,0.9747,100,0.9747,100,0.0,0.0
8678713,0.1188,100,1.5192,100,0.0,0.6582411795681941
8678715,0.4221,100,2.0448,100,0.0,0.0
8678717,1.2618,100,1.2618,100,0.0,0.0
8678719,1.3338,100,1.3338,100,0.0,0.0
8678721,1.1088,100,1.1088,100,0.9018759018759019,0.9018759018759019
8678723,0.0432,100,425.34,100,23.148148148148103,0.4843184276108529
8678725,2.943,100,115.9434,100,0.679578661230037,0.474369390581956
8678727,1.9584,100,1.9584,100,0.0,0.0
8678729,1.2852,100,1.2852,100,0.7780890133831311,0.7780890133831311
8678731,1.0593,100,1.0593,100,0.0,0.0
