COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,RunoffCat,RunoffWs
9201705,0.207,100.0,0.207,100.0,375.0,375.0
9201707,0.2934,100.0,0.2934,100.0,375.0,375.0
9201709,0.3492,100.0,0.3492,100.0,375.0,375.0
9201711,0.3573,100.0,0.3573,100.0,375.0,375.0
9201717,0.2466,100.0,0.2466,100.0,375.0,375.0
9201721,0.0468,100.0,0.0468,100.0,375.0,375.0
9201723,0.3393,100.0,0.3393,100.0,375.0,375.0
9201727,0.1044,100.0,0.1044,100.0,375.0,375.0
9201729,0.1035,100.0,0.1035,100.0,375.0,375.0
9201731,0.0387,100.0,0.0387,100.0,375.0,375.0
9201733,1.4562,100.0,1.4562,100.0,375.0,375.0
9201735,0.2592,100.0,0.2592,100.0,375.0,375.0
9201737,0.5355,100.0,0.5355,100.0,375.0,375.0
9201739,0.0972,100.0,0.0972,100.0,375.0,375.0
9201741,0.063,100.0,0.063,100.0,375.0,375.0
9201743,0.2673,100.0,0.2673,100.0,375.0,375.0
9201745,0.0207,100.0,0.0207,100.0,375.0,375.0
9201747,0.3753,100.0,0.3753,100.0,375.0,375.0
9201749,0.1143,100.0,0.1143,100.0,375.0,375.0
9201751,0.4383,100.0,0.4383,100.0,375.0,375.0
9201753,0.2565,100.0,0.2565,100.0,367.0,367.0
9201755,0.009000000000000001,100.0,1.2717,100.0,367.0,367.0
9201757,0.1989,100.0,4.0428,100.0,367.506787330317,367.28851291184304
9201759,0.0441,100.0,5.3586,100.0,367.0,367.21766879408796
9201987,0.1791,100.0,0.4266,100.0,375.0,375.0
9201989,0.0468,100.0,0.2502,100.0,367.0,367.0
9201991,0.7182,100.0,1.3581,100.0,368.83458646616504,367.97017892644095
9201993,0.1719,100.0,6.4998,100.0,368.884816753927,367.256992522847
9201995,0.0468,100.0,1.1376,100.0,367.0,367.0
9201999,0.4536,100.0,24.8832,100.0,375.0,380.242693865741
9202001,1.3383,100.0,2.1906,100.0,391.61062542030896,385.147904683648
9202003,1.2051,100.0,2.205,100.0,375.0,374.611428571429
9202005,0.0504,100.0,1.3896,100.0,375.0,372.49740932642504
9202007,0.1728,100.0,25.4493,100.0,375.0,374.725572019663
9202009,0.6012,100.0,1.2735,100.0,375.0,375.0
