COMID,CatAreaSqKm,CatPctFull,WsAreaSqKm,WsPctFull,CanalDensCat,CanalDensWs
10960632,0.018000000000000002,100,295.5726,100,0.0,0.0673913340861095
10960634,0.0522,100,295.7094,100,0.0,0.0673601577538624
10960636,0.0405,100,295.7625,100,0.0,0.0673480641842695
10960638,0.0252,100,295.5798,100,0.0,0.0673896925070658
10960640,2.6532,100,292.1427,100,0.0,0.0681825417280665
10960642,0.4689,100,292.6116,100,0.0,0.0680732815558235
10960644,2.9907,100,295.6023,100,0.0,0.0673845630879733
10960646,3.4119,100,295.5546,100,0.0,0.0673954383836354
10960648,8.235,100,8.235,100,0.0,0.0
10960834,3.681,100,3.681,100,0.0,0.0
10960836,0.0441,100,90.57600000000001,100,0.0,0.0
10960838,8.9919,100,79.2009,100,0.0,0.0
10960840,1.8342,100,103.4838,100,0.0,0.0
10960842,15.7572,100,55.8144,100,0.0,0.0
10960844,3.3795,100,116.5446,100,0.0,0.0
10960846,5.8662,100,5.8662,100,0.0,0.0
10960848,2.9493,100,2.9493,100,0.0,0.0
10960850,2.1753,100,2.1753,100,0.0,0.0
10960852,0.009000000000000001,100,5.1336,100,0.0,0.0
10960854,0.3654,100,15.1371,100,0.0,0.0
10960856,8.9055,100,8.9055,100,0.0,0.0
10960858,0.8838,100,0.8838,100,0.0,0.0
10960860,1.8783,100,1.8783,100,0.0,0.0
10960862,0.0144,100,2.7765,100,0.0,0.0
10960864,0.0828,100,146.0466,100,0.0,0.0
10960866,27.0999,100,38.448,100,0.0,0.0
10960868,0.162,100,41.2407,100,0.0,0.0
10960870,1.0134,100,1.0134,100,0.0,0.0
10960872,5.5476,100,5.5476,100,0.0,0.0
10960874,1.7064,100,44.1468,100,0.0,0.0
10960876,0.1953,100,51.0714,100,0.0,0.0
10960878,1.6668,100,1.6668,100,0.0,0.0
10960880,1.7784,100,54.5166,100,0.0,0.0
10960882,4.6602,100,24.9309,100,0.0,0.0
10960884,0.2718,100,83.2032,100,0.0,0.0
10960886,1.4067,100,158.6538,100,0.0,0.0
10960888,5.4828,100,5.4828,100,0.0,0.0
10960890,0.1953,100,0.1953,100,0.0,0.0
10960892,0.8262,100,0.8262,100,0.0,0.0
10960894,0.1755,100,165.2355,100,0.0,0.0
10960896,3.9105,100,87.1137,100,0.0,0.0
10960898,0.1854,100,169.2567,100,0.0,0.0
10960900,1.4292,100,1.4292,100,0.0,0.0
10960902,1.0719,100,85.9914,100,0.0,0.0
10960904,0.7128,100,88.1334,100,0.0,0.0
10960906,0.9027,100,0.9027,100,0.0,0.0
10960908,0.2574,100,258.7158,100,0.0,0.0
10960910,1.2195,100,1.2195,100,0.0,0.0
10960912,0.07200000000000001,100,12.6351,100,0.0,0.0
10960914,0.6075,100,0.6075,100,0.0,0.0
10960916,5.5548,100,5.5548,100,0.0,0.0
10960918,1.3617,100,261.045,100,0.0,0.0
10960920,21.5559,100,26.1342,100,0.0,0.0
10960922,0.7758,100,110.9709,100,0.0,0.0
10960924,4.6224,100,4.6224,100,0.0,0.0
10960926,1.2753,100,264.5145,100,0.0,0.0
10960928,0.0135,100,39.9303,100,0.0,0.0
10960930,4.5783,100,4.5783,100,0.0,0.0
10960932,2.6415,100,307.0863,100,0.0,0.0
10960934,1.1916,100,114.7248,100,0.0,0.0
10960936,3.2274,100,313.0263,100,0.0,0.0
10960938,3.2067,100,124.1046,100,0.0,0.0
10960940,2.9862,100,2.9862,100,0.0,0.0
10960942,0.1062,100,135.1233,100,0.0,0.0
10960944,1.6659,100,1.6659,100,0.0,0.0
10960946,0.0171,100,376.155,100,0.0,0.0
10960948,4.167,100,4.3659,100,0.0,0.0
10960950,17.9847,100,45.0369,100,0.274599933955529,0.113272511376871
10960952,0.8919,100,378.846,100,0.0,0.0
10960954,0.0999,100,381.4137,100,0.0,0.0
10960956,1.1520000000000001,100,1.1520000000000001,100,0.0,0.0
10960958,1.9512,100,1.9512,100,0.0,0.0
10960960,0.0054,100,416.4525,100,0.0,0.0
10960962,0.2358,100,3.339,100,0.0,0.0
10960964,1.8117,100,1.8117,100,0.0,0.0
10960966,0.0018,100,83.1843,100,0.0,0.0613269904011935
10960968,4.9914,100,32.1984,100,0.0,0.0
10960970,10.1151,100,81.3708,100,0.0,0.0626937767310878
10960972,0.0045,100,17.163,100,0.0,0.0
10960974,1.1601,100,2.0069999999999997,100,0.0,0.0
10960976,0.8469,100,0.8469,100,0.0,0.0
10960978,0.0981,100,2.0169,100,0.0,0.0
10960980,4.3542,100,425.2194,100,0.0,0.0
10960982,0.4554,100,88.0407,100,0.0,0.0579441413758637
10960984,0.6129,100,15.3531,100,0.0,0.0
10960986,0.3348,100,427.212,100,0.0,0.0
10960988,1.8054,100,1.8054,100,0.0,0.0
10960990,2.9511,100,2.9511,100,0.0,0.0
10960992,0.0063,100,0.1197,100,0.0,0.0
10960994,1.0917,100,1.0917,100,0.0,0.0
10960996,2.2662,100,2.2662,100,0.0,0.0
10960998,2.0871,100,2.0871,100,0.0,0.0
10961000,3.0141,100,3.0141,100,0.0,0.0
10961002,1.359,100,15.7914,100,0.0,0.0
10961004,24.4197,100,24.4197,100,0.0,0.0
10961006,9.3699,100,9.3699,100,0.0,0.0
10961008,0.5148,100,0.5148,100,0.0,0.0
10961010,5.7348,100,5.7348,100,0.0,0.0
10961012,0.1224,100,42.7131,100,0.0,0.0
10961014,0.0441,100,42.6348,100,0.0,0.0
10961016,0.0288,100,42.786,100,0.0,0.0
10961018,1.0395,100,1.0395,100,0.0,0.0
10961020,2.7594,100,2.7594,100,0.0,0.0
10961022,11.1924,100,11.1924,100,0.0,0.0
10961024,1.6803,100,16.0758,100,0.0,0.0
10961026,6.4368,100,6.4368,100,0.0,0.0
10961028,3.924,100,3.924,100,0.0,0.0
10961030,4.6512,100,42.3099,100,0.0,0.0
10961032,0.4122,100,35.7057,100,0.0,0.0
10961036,0.5454,100,36.2511,100,0.0,0.0
10961038,0.1089,100,38.4885,100,0.0,0.0
10961040,0.7632,100,39.7971,100,0.0,0.0
10961042,0.0063,100,54.4176,100,0.0,0.0
10961044,7.9587,100,7.9587,100,0.0,0.0
10961046,0.4815,100,40.5189,100,0.0,0.0
10961048,0.1251,100,21.3813,100,0.0,0.0
10961050,2.1609,100,2.1609,100,0.0,0.0
10961052,3.4371,100,3.4371,100,0.0,0.0
10961054,1.7009999999999998,100,1.7009999999999998,100,0.0,0.0
10961056,3.3282,100,3.3282,100,0.0,0.0
10961058,6.7716,100,6.7716,100,0.0,0.0
10961060,1.0458,100,1.0458,100,0.0,0.0
10961078,2.592,100,2.592,100,0.0,0.0
10961094,4.7052,100,4.7052,100,0.0,0.0
10961118,1.3769999999999998,100,1.3769999999999998,100,0.0,0.0
10961266,10.7136,100,14.3946,100,0.0,0.0
10961268,2.1555,100,2.1555,100,0.0,0.0
10961270,2.7432,100,2.7432,100,0.0,0.0
10961272,11.331,100,11.331,100,0.0,0.0
10961274,9.6813,100,9.6813,100,0.0,0.0
10961276,6.1749,100,98.9064,100,0.0,0.0
10961278,13.8195,100,13.8195,100,0.0,0.0
10961280,12.8709,100,12.8709,100,0.0,0.0
10961282,7.9929,100,137.4084,100,0.0,0.0
10961284,2.0943,100,2.0943,100,0.0,0.0
10961286,26.2377,100,26.2377,100,0.0,0.0
10961288,3.1023,100,142.605,100,0.0,0.0
10961290,2.6307,100,2.6307,100,0.0,0.0
